"currency","discount_pct","image_url","is_mall","item_id","location","name","original_price","price","rating","rating_count","shop_id","sold_count","url"
"IDR",,"https://down-id.img.susercontent.com/file/sg-11134201-823q5-mpcv30phx2j0bd","false","27426098705","Tangerang","bawang goreng premium 100gr","200000","26800","4.7",,"844334074",,"https://shopee.co.id/Bawang-Goreng-Premium-Murni-Gurih-Renyah-Halal-i.844334074.27426098705"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-81ztf-mr2kzworkyro4e","false","54964811752","Jakarta Timur","Bawang Goreng Asli Tanpa Tepung AKSARA A++ | Original Gurih dan Renyah, Tanpa Pengawet",,"15000","4.9",,"99324568",,"https://shopee.co.id/bawang-goreng-premium-100gr-i.99324568.54964811752"
"IDR",,"https://down-id.img.susercontent.com/file/c3a5a3319d7fab9f00e41f0eb2691ee0","false","6740171623","Bekasi","Bawang Goreng Premium Brebes Sumenep 250g Nion Nion","60000","40680","5",,"22499529",,"https://shopee.co.id/Bawang-Goreng-Asli-Tanpa-Tepung-AKSARA-A-Original-Gurih-dan-Renyah-Tanpa-Pengawet-i.22499529.6740171623"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-7ras8-m0vguvmg1zbg51","false","13982798115","Tangerang Selatan","Bawang Goreng premium Asli Tanpa Tepung Grade A++ 250gram","85000","52998","4.9",,"294266184",,"https://shopee.co.id/Bawang-Goreng-Premium-Brebes-Sumenep-250g-Nion-Nion-i.294266184.13982798115"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-82250-mg6syi081xjcc4","false","42074799424",,"Bawang Goreng Premium 1 kg Asli Original Tanpa Campuran","70000","48500","4.8",,"228341950",,"https://shopee.co.id/Bawang-Goreng-premium-Asli-Tanpa-Tepung-Grade-A-250gram-i.228341950.42074799424"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-7rasf-m602shdros1y92","false","28075581550","Tangerang","Bawang Merah Goreng Premium Renyah Tanpa Tepung","260000","99889","4.9",,"844334074",,"https://shopee.co.id/Bawang-Goreng-Premium-1-kg-Asli-Original-Tanpa-Campuran-i.844334074.28075581550"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-7rbk6-m7a1o42dpp284c","false","28679380886","Jakarta Barat","Bawang Goreng Renyah Gurih Sumenep 1kg Termurah","100000","34017","4.9",,"1346760586",,"https://shopee.co.id/Bawang-Merah-Goreng-Premium-Renyah-Tanpa-Tepung-i.1346760586.28679380886"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mbkosjrbewk717","false","44156605390",,"Bawang goreng Premium asli/ Brambang Goreng Asli","21000","13341","4",,"1084221602",,"https://shopee.co.id/Bawang-Goreng-Renyah-Gurih-Sumenep-1kg-Termurah-i.1084221602.44156605390"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-7rasg-m0q6n68klbh2ff","false","27112663346",,"Bawang Goreng Premium Sumenep 1kg Tanpa MSG","19000","16700","4.3",,"1315730370",,"https://shopee.co.id/Bawang-goreng-Premium-asli-Brambang-Goreng-Asli-i.1315730370.27112663346"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-822wg-mmiiqqegp2boec","false","24434732163","Bandung","BAWANG GORENG PREMIUM ASLI GRADE A++ TANPA TEPUNG 250GRAM","170000","142800","4.9",,"1097461419",,"https://shopee.co.id/Bawang-Goreng-Premium-Sumenep-1kg-Tanpa-MSG-i.1097461419.24434732163"
"IDR",,"https://down-id.img.susercontent.com/file/sg-11134201-823qm-mp7gdb47bdhdd5","false","20483028782",,"Bawang Goreng Premium Sumenep 1 Kg Tanpa MSG","51000","48986","4.7",,"228341950",,"https://shopee.co.id/BAWANG-GORENG-PREMIUM-ASLI-GRADE-A-TANPA-TEPUNG-250GRAM-i.228341950.20483028782"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-7rbka-m9jw68j4tzdq8d","false","41100305676","Bandung","Bawang Goreng Asli Premium(Super renyah &amp; Gurih)- Toples Jumbo 400Gram","170000","142800","4.9",,"1473519173",,"https://shopee.co.id/Bawang-Goreng-Premium-Sumenep-1-Kg-Tanpa-MSG-i.1473519173.41100305676"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-82250-mkuee0f74xzb31","false","57106256947","Semarang","Bagor - Bawang Goreng 1kg (PREMIUM Grade A Grade B+)","75942","62942","5",,"1268431636",,"https://shopee.co.id/Bawang-Goreng-Asli-Premium(Super-renyah-Gurih)-Toples-Jumbo-400Gram-i.1268431636.57106256947"
"IDR",,"https://down-id.img.susercontent.com/file/308a0f3739f2c5134afe9a7b7536d7eb","false","4362787227","Jakarta Timur","Bawang merah Goreng Asli premium 100 gr termurah",,"43500","4.8",,"243675320",,"https://shopee.co.id/Bagor-Bawang-Goreng-1kg-(PREMIUM-Grade-A-Grade-B-)-i.243675320.4362787227"
"IDR",,"https://down-id.img.susercontent.com/file/id-11134207-7rasg-m2ttmu22e69r02","false","29318202425",,"BAWANG GORENG PREMIUM GOLDEN BROWN UNCLE DREW","12000","9851","4.3",,"322487640",,"https://shopee.co.id/Bawang-merah-Goreng-Asli-premium-100-gr-termurah-i.322487640.29318202425"
