"badge_title","badge_url","category_breadcrumb","category_id","category_name","discount_percentage","fetched_at","image_url","is_ad","is_wishlist","keyword","original_price","page","position","price","price_number","product_id","product_url","rating","shop_city","shop_id","shop_name","shop_tier","shop_url","sold_count","source_url","title"
"Kab. Bekasi",,,"0",,"0","2026-08-01T00:33:10.192Z","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/d8dca99df4c04fd1a58617487268948c~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1785547989&x-signature=794wntCt%2F4A%2F8cEmC92ozR1cI0o%3D&x-signature-webp=O%2FeudLVnxDt3P2KiPtS%2FIGdug5o%3D","false","false","bawang goreng murni",,"1","1","Rp33.586","33586","102914349021","https://www.tokopedia.com/bikin-nagih-21/bawang-merah-goreng-155-g-renyah-gurih-low-oil-100-murni-tanpa-campuran-halal-pirt-1734148045883541226?extParam=ivf%3Dfalse%26keyword%3Dbawang+goreng+murni%26search_id%3D202608010033093DD48AB31D016F286K16%26src%3Dsearch","5","Kab. Bekasi","7494337048762287850","Bikin Nagih 21","1","https://www.tokopedia.com/bikin-nagih-21","2 terjual","https://www.tokopedia.com/search?q=bawang%20goreng%20murni&st=product","Bawang Merah Goreng 155 g - Renyah Gurih Low Oil 100% Murni tanpa Campuran | Halal | PIRT"
"Kab. Magetan",,,"0",,"0","2026-08-01T00:33:10.192Z","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/1fdc35a35bf84dffbb21bfe5cd75d2df~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1785547989&x-signature=jXcSH51kJTpQI4NF17wIq72cREs%3D&x-signature-webp=qqUZObHhLitHK6sFMGNWwT%2BELgY%3D","false","false","bawang goreng murni",,"1","2","Rp46.000","46000","100447348441","https://www.tokopedia.com/pawon-si-mbok-01/bawang-merah-goreng-original-200-gran-murni-tanpa-tepung-gurih-renyah-1731127340147311689?extParam=ivf%3Dfalse%26keyword%3Dbawang+goreng+murni%26search_id%3D202608010033093DD48AB31D016F286K16%26src%3Dsearch","5","Kab. Magetan","7494749496720525385","Pawon Si Mbok 01","1","https://www.tokopedia.com/pawon-si-mbok-01","2 terjual","https://www.tokopedia.com/search?q=bawang%20goreng%20murni&st=product","(BAWANG MERAH) GORENG ORIGINAL 200 gran Murni Tanpa Tepung Gurih Renyah"
"Kab. Brebes",,,"0",,"0","2026-08-01T00:33:10.192Z","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/ecc6cc43078a481baca70b6428bfcfdc~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1785547989&x-signature=l8o7jeuPT98dP4iV6JUsnvvF9fA%3D&x-signature-webp=nw%2FMBeJfy4OUCX64qpBZ39l10fY%3D","false","false","bawang goreng murni","Rp88.900","1","3","Rp77.683","77683","103497363618","https://www.tokopedia.com/ginukshop-121/bawang-goreng-asli-brebes-enak-gurih-dan-cruncy-1736134698404513270-1736134465749616118?extParam=ivf%3Dfalse%26keyword%3Dbawang+goreng+murni%26search_id%3D202608010033093DD48AB31D016F286K16%26src%3Dsearch","5","Kab. Brebes","7494518649324144118","Ginuk.shop","1","https://www.tokopedia.com/ginukshop-121","5 terjual","https://www.tokopedia.com/search?q=bawang%20goreng%20murni&st=product","Bawang Goreng Asli Brebes Mba Ginuk Murni 100% tanpa campuran Grade A"
"Kab. Brebes",,,"0",,"0","2026-08-01T00:33:10.192Z","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/699ee4b7cae742d2ad43b6511a4e120c~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1785547989&x-signature=Yptod8tGKfbugu2GOFsADOYSV3k%3D&x-signature-webp=4LBcUSaNjuCXHQADT8%2BdWJAeMC0%3D","false","false","bawang goreng murni","Rp89.900","1","4","Rp70.977","70977","103300614236","https://www.tokopedia.com/ginukshop-121/bawang-goreng-mba-ginuk-asli-brebes-1735274417616684534-1735274495746082294?extParam=ivf%3Dfalse%26keyword%3Dbawang+goreng+murni%26search_id%3D202608010033093DD48AB31D016F286K16%26src%3Dsearch","5","Kab. Brebes","7494518649324144118","Ginuk.shop","1","https://www.tokopedia.com/ginukshop-121","8 terjual","https://www.tokopedia.com/search?q=bawang%20goreng%20murni&st=product","Bawang Goreng Mba Ginuk Asli Brebes 100% murni tanpa campuran Grade A"
"Kab. Bekasi",,,"0",,"0","2026-08-01T00:33:10.192Z","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/08a954d27bfc49b7bfc3aee09ec62ad5~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1785547989&x-signature=Q8PY2%2B2yQ8k6MP11n%2F%2Bkw6wPQ7w%3D&x-signature-webp=9NRb%2FAv%2B1TiWGFI%2F0QhRwXPY5gs%3D","false","false","bawang goreng murni",,"1","5","Rp41.720","41720","102914375089","https://www.tokopedia.com/bikin-nagih-21/bawang-merah-goreng-205-g-renyah-gurih-low-oil-100-murni-tanpa-campuran-halal-pirt-1734148116579649258?extParam=ivf%3Dfalse%26keyword%3Dbawang+goreng+murni%26search_id%3D202608010033093DD48AB31D016F286K16%26src%3Dsearch","5","Kab. Bekasi","7494337048762287850","Bikin Nagih 21","1","https://www.tokopedia.com/bikin-nagih-21","1 terjual","https://www.tokopedia.com/search?q=bawang%20goreng%20murni&st=product","Bawang Merah Goreng 205 g- Renyah Gurih Low Oil 100% Murni tanpa Campuran | Halal | PIRT"
"Jakarta Barat","https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/goldmerchant/pm_activation/badge/Power%20Merchant%20Pro.png~tplv-zr7vqa5nfb-image.image","makanan-minuman/makanan-kering/bawang-goreng","35","Makanan & Minuman","0","2026-08-01T00:33:10.192Z","https://p19-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/cd80a56044e549a3b346ef19ee3afc5a~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?lk3s=97278606&x-expires=1785547989&x-signature=tVOx0n40ysjxHqgfss0quPGfBlc%3D&x-signature-webp=McKuXdJxdvBvTYJgmv59muwi8RY%3D","false","false","bawang goreng murni",,"1","6","Rp58.500","58500","100355602563","https://www.tokopedia.com/mettaol/bawang-goreng-cendana-250-gram-bawang-asli-brebes-100-murni-1729916441211209803?extParam=ivf%3Dfalse%26keyword%3Dbawang+goreng+murni%26search_id%3D202608010033093DD48AB31D016F286K16%26src%3Dsearch","5","Jakarta Barat","10634558","Metta OL Shop","3","https://www.tokopedia.com/mettaol","4 terjual","https://www.tokopedia.com/search?q=bawang%20goreng%20murni&st=product","Bawang Goreng CENDANA 250 Gram - BAWANG ASLI BREBES 100% MURNI"
"Kab. Bekasi","https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/goldmerchant/pm_activation/badge/Power%20Merchant%20Pro.png~tplv-zr7vqa5nfb-image.image","makanan-minuman/makanan-kering/bawang-goreng","35","Makanan & Minuman","0","2026-08-01T00:33:10.192Z","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/d230a92d8f464820b82624e87f2e62f4~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1785547989&x-signature=IHYNHj18CYxJ0v3OGXQ2pH5rcgk%3D&x-signature-webp=R4jZLj3sC%2BNX3Z7LjCPvGZEp2tY%3D","false","false","bawang goreng murni",,"1","7","Rp6.000","6000","102502689895","https://www.tokopedia.com/shopshabira/bawang-goreng-sarwo-muaske-murni-tanpa-campuran-harga-ekonomis-20gr-onion-1733045089882572755?extParam=ivf%3Dfalse%26keyword%3Dbawang+goreng+murni%26search_id%3D202608010033093DD48AB31D016F286K16%26src%3Dsearch","5","Kab. Bekasi","11031048","ShopShabira","3","https://www.tokopedia.com/shopshabira","10 terjual","https://www.tokopedia.com/search?q=bawang%20goreng%20murni&st=product","bawang goreng sarwo muaske murni tanpa campuran harga ekonomis 20gr Onion"
"Surabaya","https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/goldmerchant/pm_activation/badge/Power%20Merchant%20Pro.png~tplv-zr7vqa5nfb-image.image","makanan-minuman/makanan-kering/bawang-goreng","35","Makanan & Minuman","0","2026-08-01T00:33:10.192Z","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/31f6a3057d8049ddaf4eae4cdcefb5cf~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1785547989&x-signature=Ud5L896gu%2FF9saQ49XOTslLdm8A%3D&x-signature-webp=vcNdsJVMfhOsNcOmgiFKA%2FBhmYg%3D","false","false","bawang goreng murni","Rp23.000","1","8","Rp22.500","22500","103223263840","https://www.tokopedia.com/cvunion77/bawang-merah-goreng-kriuk-bawang-merah-murni-tanpa-tepung-siap-makan-by-bumbu-wilona-1729869433007081807-1735044387361883471?extParam=ivf%3Dfalse%26keyword%3Dbawang+goreng+murni%26search_id%3D202608010033093DD48AB31D016F286K16%26src%3Dsearch","5","Surabaya","7318658","BUMBU WILONA","3","https://www.tokopedia.com/cvunion77","90+ terjual","https://www.tokopedia.com/search?q=bawang%20goreng%20murni&st=product","BAWANG MERAH GORENG KRIUK | BAWANG MERAH MURNI TANPA TEPUNG | SIAP MAKAN BY BUMBU WILONA"
"Depok","https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/goldmerchant/pm_activation/badge/Power%20Merchant%20Pro.png~tplv-zr7vqa5nfb-image.image","makanan-minuman/makanan-kering/daging-kering-asin","35","Makanan & Minuman","0","2026-08-01T00:33:10.192Z","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2023/3/24/5fe87c67-89c8-4466-b5ce-3d0dc1e9ffd3.jpg~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1785547989&x-signature=MlnoTAO5Xsa8KmHxbRd83feGjYI%3D&x-signature-webp=OsqA%2BynGizJtcc8Y25PGHtbAylc%3D","false","false","bawang goreng murni",,"1","9","Rp47.500","47500","6025189838","https://www.tokopedia.com/unfakitchen/bawang-goreng-brebes-murni-gurih-super-premium?extParam=ivf%3Dfalse%26keyword%3Dbawang+goreng+murni%26search_id%3D202608010033093DD48AB31D016F286K16%26src%3Dsearch","4.9","Depok","8965491","UNAFA KITCHEN","3","https://www.tokopedia.com/unfakitchen","750+ terjual","https://www.tokopedia.com/search?q=bawang%20goreng%20murni&st=product","bawang goreng brebes murni gurih"
"Kab. Bekasi","https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/goldmerchant/pm_activation/badge/Power%20Merchant%20Pro.png~tplv-zr7vqa5nfb-image.image","makanan-minuman/makanan-kering/bawang-goreng","35","Makanan & Minuman","0","2026-08-01T00:33:10.192Z","https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/33500c6f92f547fd9937f0d5bfbf017a~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?lk3s=97278606&x-expires=1785547989&x-signature=v%2BjXJOoMDOI2uM3hmHXtK5xEUDU%3D&x-signature-webp=XGw2Sr9oZeq%2BHjoyNQGiiF4ASgA%3D","false","false","bawang goreng murni","Rp140.000","1","10","Rp111.500","111500","7627476009","https://www.tokopedia.com/mindonyok22/paket-hemat-4-toples-boleh-mix-varian-goreng-garem-bawang-murni-pedas-garam-1729643236127312440?extParam=ivf%3Dfalse%26keyword%3Dbawang+goreng+murni%26search_id%3D202608010033093DD48AB31D016F286K16%26src%3Dsearch","4.9","Kab. Bekasi","1575490","mindonyok22","3","https://www.tokopedia.com/mindonyok22","1rb+ terjual","https://www.tokopedia.com/search?q=bawang%20goreng%20murni&st=product","PAKET HEMAT 4 TOPLES Boleh mix varian ( goreng garem ) Bawang murni  Pedas Garam"
