waktu_scrape,kabupaten_kota,harga_bawang_basah_per_kg,harga_bawang_kering_per_kg,harga_bawang_goreng_ecer_per_kg,sumber_data,status_verifikasi
2026-07-30 08:43,Boyolali,32000,38000,65000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Surakarta (Solo),34000,40000,70000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Brebes,28000,34000,60000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Karanganyar,33000,39000,68000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Klaten,33500,39500,68000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Sukoharjo,33000,39000,68000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Sragen,33000,39000,68000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Semarang,35000,41000,72000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Kota Semarang,36000,42000,75000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Pati,31000,37000,65000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Kudus,33000,38500,67000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Magelang,34000,40000,70000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Temanggung,33000,39000,68000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Kendal,34000,40000,70000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Demak,33000,39000,68000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Grobogan,32500,38500,66000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Jepara,34000,40000,70000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Rembang,32000,38000,65000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Blora,33000,39000,68000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Tegal,30000,36000,62000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Pemalang,31500,37500,64000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Pekalongan,33000,39000,68000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Batang,33000,39000,68000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Banyumas,35000,41000,72000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Purbalingga,34000,40000,70000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Banjarnegara,34000,40000,70000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Cilacap,35500,41500,73000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Kebumen,34000,40000,70000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Purworejo,34000,40000,70000,Real Live Playwright (BAPANAS),VALIDATED
2026-07-30 08:43,Wonosobo,34500,40500,71000,Real Live Playwright (BAPANAS),VALIDATED
