rank,toko,nama_produk,varian_berat,harga_rp,berat_gram,harga_per_gram,harga_per_kg,terjual,lokasi_toko,rating,link_shopee,timestamp_scraped
1,Mbawangg (Mbawang),Bawang Merah Goreng Premium Renyah Halal [200 Gram],200 Gram,49499,200,247.5,247495,9RB+ Terjual,Kota Jakarta Barat,4.9,https://shopee.co.id/mbawangg,2026-08-03 01:03
2,Mbawangg (Mbawang),Bawang Merah Goreng Premium Renyah Halal [250 Gram],250 Gram,59399,250,237.6,237596,9RB+ Terjual,Kota Jakarta Barat,4.9,https://shopee.co.id/mbawangg,2026-08-03 01:03
3,Mbawangg (Mbawang),Bawang Merah Goreng Premium Renyah Halal [350 Gram],350 Gram,73986,350,211.39,211389,9RB+ Terjual,Kota Jakarta Barat,4.9,https://shopee.co.id/mbawangg,2026-08-03 01:03
4,Mbawangg (Mbawang),Bawang Merah Goreng Premium Renyah Halal [440 Gram],440 Gram,97182,440,220.87,220868,9RB+ Terjual,Kota Jakarta Barat,4.9,https://shopee.co.id/mbawangg,2026-08-03 01:03
5,Bandung Restokoe,Bawang Merah Goreng Renyah Pouch Kemasan [150 Gram],150 Gram,27500,150,183.33,183333,4.2RB Terjual,Kota Bandung,4.9,https://shopee.co.id/bandung.restokoe,2026-08-03 01:03
6,Bandung Restokoe,Bawang Merah Goreng Renyah Pouch Kemasan [250 Gram],250 Gram,42000,250,168.0,168000,4.2RB Terjual,Kota Bandung,4.9,https://shopee.co.id/bandung.restokoe,2026-08-03 01:03
7,Bandung Restokoe,Bawang Merah Goreng Renyah Pouch Kemasan [500 Gram],500 Gram,79000,500,158.0,158000,4.2RB Terjual,Kota Bandung,4.9,https://shopee.co.id/bandung.restokoe,2026-08-03 01:03
8,Dapur Mamah Mia,Bawang Goreng Gurih Kemasan Pouch [250 Gram],250 Gram,38000,250,152.0,152000,1.9RB Terjual,Kab. Boyolali,4.8,https://shopee.co.id/dapurmamahmia,2026-08-03 01:03
9,Dapur Mamah Mia,Bawang Goreng Gurih Kemasan Pouch [500 Gram],500 Gram,72000,500,144.0,144000,1.9RB Terjual,Kab. Boyolali,4.8,https://shopee.co.id/dapurmamahmia,2026-08-03 01:03
10,Agustina Widayanti,Bawang Goreng Boyolali Murni 100% Bulk Bal [500 Gram],500 Gram,75000,500,150.0,150000,650 Terjual,Kab. Boyolali,4.8,https://shopee.co.id/agustina.widayanti,2026-08-03 01:03
11,Agustina Widayanti,Bawang Goreng Boyolali Murni 100% Bulk Bal [1000 Gram (1 Kg)],1000 Gram,145000,1000,145.0,145000,650 Terjual,Kab. Boyolali,4.8,https://shopee.co.id/agustina.widayanti,2026-08-03 01:03
12,Mr. Onion,Paket Kombo Toples Jumbo Bawang Merah 400gr + Bawang Putih Iris 450gr – Praktis & Ekonomis,400 Gram,105000,400,262.5,262500,-,Kota Bandung,4.9,https://shopee.co.id/Paket-Kombo-Toples-Jumbo-Bawang-Merah-400gr-Bawang-Putih-Iris-450gr-%E2%80%93-Praktis-Ekonomis-i.37185894.42666394370?extraParams=%7B%22display_model_id%22%3A301350393754%2C%22model_selection_logic%22%3A3%7D,2026-08-03 01:23
13,Mr. Onion,"Brambang Goreng Premium 200gr – Renyah, Gurih, & Praktis!",200 Gram,32000,200,160.0,160000,-,Kota Bandung,4.9,https://shopee.co.id/Brambang-Goreng-Premium-200gr-%E2%80%93-Renyah-Gurih-Praktis!-i.37185894.27767837325?extraParams=%7B%22display_model_id%22%3A257045054334%2C%22model_selection_logic%22%3A3%7D,2026-08-03 01:23
14,Mr. Onion,Bawang Merah Toples Jumbo 400gr – Praktis & Tanpa Pengawet,400 Gram,60000,400,150.0,150000,-,Kota Bandung,4.9,https://shopee.co.id/Bawang-Merah-Toples-Jumbo-400gr-%E2%80%93-Praktis-Tanpa-Pengawet-i.37185894.43316400171?extraParams=%7B%22display_model_id%22%3A198676905250%2C%22model_selection_logic%22%3A3%7D,2026-08-03 01:23
15,Mr. Onion,"Brambang Goreng Premium 260g – Renyah, Gurih, & Praktis!",260 Gram,36000,260,138.46,138462,-,Kota Bandung,4.9,https://shopee.co.id/Brambang-Goreng-Premium-260g-%E2%80%93-Renyah-Gurih-Praktis!-i.37185894.26867824949?extraParams=%7B%22display_model_id%22%3A195561931533%2C%22model_selection_logic%22%3A3%7D,2026-08-03 01:23
16,Mr. Onion,"Brambang Goreng Kriuk 160gr – Gurih & Renyah, Tanpa Pengawet Bawang",160 Gram,23000,160,143.75,143750,-,Kota Bandung,4.9,https://shopee.co.id/Brambang-Goreng-Kriuk-160gr-%E2%80%93-Gurih-Renyah-Tanpa-Pengawet-Bawang-i.37185894.705123325?extraParams=%7B%22display_model_id%22%3A90324637937%2C%22model_selection_logic%22%3A3%7D,2026-08-03 01:23
17,Mr. Onion,Bawang Putih Cacah 450g Pouch Siap Pakai,450 Gram,60000,450,133.33,133333,-,Kota Bandung,4.9,https://shopee.co.id/Bawang-Putih-Cacah-450g-Pouch-Siap-Pakai-i.37185894.42516392887?extraParams=%7B%22display_model_id%22%3A281349971931%2C%22model_selection_logic%22%3A3%7D,2026-08-03 01:23
18,Mr. Onion,Bawang Putih Iris Kering 500gr – Praktis & Siap Pakai (Pouch),500 Gram,60000,500,120.0,120000,-,Kota Bandung,4.9,https://shopee.co.id/Bawang-Putih-Iris-Kering-500gr-%E2%80%93-Praktis-Siap-Pakai-(Pouch)-i.37185894.28440817244?extraParams=%7B%22display_model_id%22%3A248828793099%2C%22model_selection_logic%22%3A3%7D,2026-08-03 01:23
19,Mr. Onion,Bawang Putih Iris 250gr – Praktis & Siap Masak (Pouch),250 Gram,32000,250,128.0,128000,-,Kota Bandung,4.9,https://shopee.co.id/Bawang-Putih-Iris-250gr-%E2%80%93-Praktis-Siap-Masak-(Pouch)-i.37185894.40266379173?extraParams=%7B%22display_model_id%22%3A266350198441%2C%22model_selection_logic%22%3A3%7D,2026-08-03 01:23
