"address","city","country_code","domain","fid","kgmid","latitude","longitude","neighborhood","phone","phone_unformatted","place_id","popular_times_weekly/0/close","popular_times_weekly/0/day","popular_times_weekly/0/open","popular_times_weekly/1/close","popular_times_weekly/1/day","popular_times_weekly/1/open","popular_times_weekly/2/close","popular_times_weekly/2/day","popular_times_weekly/2/open","popular_times_weekly/3/close","popular_times_weekly/3/day","popular_times_weekly/3/open","popular_times_weekly/4/close","popular_times_weekly/4/day","popular_times_weekly/4/open","popular_times_weekly/5/close","popular_times_weekly/5/day","popular_times_weekly/5/open","popular_times_weekly/6/close","popular_times_weekly/6/day","popular_times_weekly/6/open","popular_times_weekly/7/close","popular_times_weekly/7/day","popular_times_weekly/7/open","postal_code","reviews_count","state","street","title","total_score","website"
"30 Bali Ln, KULON, Singapore 189866","Singapore","SG",,"0x31da19b412e46883:0xa427c00a224fab63","/g/11hs3v1bn1","1.3012255","103.8584004","30 Bali Ln","+6569294686","6929 4686","ChIJg2jkErQZ2jERY6tPIgrAJ6Q",,"Monday",,,"Monday",,,,,,,,,,,,,,,,,,,,"189866",,,"30 Bali Ln","KULON",,
"54 Zion Rd, IndoChili, Singapore 247779","Singapore","SG",,"0x31da19836ef50bb9:0x8e73d74c5232aa12","/g/11rvw520n","1.2929351","103.831227","54 Zion Rd","+6589228185","8922 8185","ChIJuQv1boMZ2jEREqoyUkzXc44","3pm","Monday","11:30am","3pm","Monday","11:30am",,,,,,,,,,,,,,,,,,,"247779",,,"54 Zion Rd","IndoChili",,
"94 Lor 4 Toa Payoh, #01-22 THREE. by Garamika, Singapore 310094","Singapore","SG",,"0x31da176a6ec198c3:0xe0cbad1787b9d7c4","/g/11k581v0qb","1.3388227","103.8496748","94 Lor 4 Toa Payoh, #01-22","+6580271333","8027 1333","ChIJw5jBbmoX2jERxNe5hxety-A","3pm","Monday","11am","3pm","Monday","11am",,,,,,,,,,,,,,,,,,,"310094",,,"94 Lor 4 Toa Payoh, #01-22","THREE. by Garamika",,
"6 Raffles Blvd, #02-201 Makan Makan, Singapore 039594","Singapore","SG",,"0x31da19252670010f:0x7ce44654e3752159","/g/11rydxypxv","1.2912061","103.8576768","6 Raffles Blvd, #02-201","+6562529848","6252 9848","ChIJDwFwJiUZ2jERWSF141RG5Hw","4pm","Monday","11am","4pm","Monday","11am",,,,,,,,,,,,,,,,,,,"039594",,,"6 Raffles Blvd, #02-201","Makan Makan",,
"Altez / Icon Village Extension, 16 Enggor St, #01-10 Bara Food Tanjong Pagar, Singapore 079717","Singapore","SG",,"0x31da1970b386aa81:0x3fe1694d371af197","/g/11frj609q2","1.2744873","103.8443179","Altez / Icon Village Extension, 16 Enggor St, #01-10","+6581826876","8182 6876","ChIJgaqGs3AZ2jERl_EaN01p4T8","8pm","Monday","8am","8pm","Monday","8am",,,,,,,,,,,,,,,,,,,"079717",,,"Altez / Icon Village Extension, 16 Enggor St, #01-10","Bara Food Tanjong Pagar",,
"304 Orchard Rd, #01-45 Paris Van Java, Lucky Plaza, Singapore 238863","Singapore","SG",,"0x31da19004bf68a03:0x232bd452cb131835","/g/11trh_0q5w","1.3045795","103.8340621","304 Orchard Rd, #01-45 Lucky Plaza","+6565399313","6539 9313","ChIJA4r2SwAZ2jERNRgTy1LUKyM","9pm","Monday","11am","9pm","Monday","11am",,,,,,,,,,,,,,,,,,,"238863",,,"304 Orchard Rd, #01-45 Lucky Plaza","Paris Van Java",,
"Lucky Plaza, 304 Orchard Rd, #01-42 Bebek Goreng Pak Ndut @Lucky Plaza, Orchard, Singapore 238863","Singapore","SG",,"0x31da199270bd8a55:0x3ce988ae33fdb9ab","/g/11g7zgnwrj","1.3045755","103.8340344","Lucky Plaza, 304 Orchard Rd, #01-42 Orchard","+6567344787","6734 4787","ChIJVYq9cJIZ2jERq7n9M66I6Tw","9:30pm","Monday","11am","9:30pm","Monday","11am",,,,,,,,,,,,,,,,,,,"238863",,,"Lucky Plaza, 304 Orchard Rd, #01-42 Orchard","Bebek Goreng Pak Ndut @Lucky Plaza",,
"10 Paya Lebar Rd, #02-09 Pondok Jawa, Singapore 409057","Singapore","SG",,"0x31da191e9b9fecc1:0x1ed1d8c4467b6319","/g/11xmv9m0q2","1.3175284","103.8928037","10 Paya Lebar Rd, #02-09","+6589052722","8905 2722","ChIJweyfmx4Z2jERGWN7RsTY0R4",,,,,,,,,,,,,,,,,,,,,,,,,"409057",,,"10 Paya Lebar Rd, #02-09","Pondok Jawa",,
"17 Petir Rd, #B2-57/58 Ayam Penyet President, Singapore 678278","Singapore","SG",,"0x31da11bb500fb449:0x1e834a4b6efe44d2","/g/11dx9x1xg_","1.3784644","103.7636339","17 Petir Rd, #B2-57/58","+6562655945","6265 5945","ChIJSbQPULsR2jER0kT-bktKgx4","9pm","Monday","7:30am","9pm","Monday","7:30am",,,,,,,,,,,,,,,,,,,"678278",,,"17 Petir Rd, #B2-57/58","Ayam Penyet President",,
"371 Beach Rd, #02-28 Palapa Indonesian Fast Food, City Gate, Singapore 199597","Singapore","SG",,"0x31da193f0b67dd21:0xde3cee62b0aa0c7b","/g/11y5gdwcr1","1.3023209","103.8623237","371 Beach Rd, #02-28 City Gate",,,"ChIJId1nCz8Z2jERewyqsGLuPN4","9pm","Monday","11am","9pm","Monday","11am",,,,,,,,,,,,,,,,,,,"199597",,,"371 Beach Rd, #02-28 City Gate","Palapa Indonesian Fast Food",,
