"address","category","city","cms","contactability_score","copyright_year","country","email","email_source","has_contact_form","has_ssl","has_tracking","is_permanently_closed","latitude","lead_priority","longitude","maps_url","mobile_friendly","name","opening_hours","opening_hours/0","opening_hours/1","opening_hours/2","opening_hours/3","opening_hours/4","opening_hours/5","opening_hours/6","opportunity_count","opportunity_tags/0","opportunity_tags/1","phone","place_id","price_level","rating","review_count","scraped_at","site_reachable","social_links/facebook","social_links/instagram","social_links/linkedin","social_links/tiktok","social_links/twitter","social_links/youtube","tracking_tools/0","tracking_tools/1","website","website_type"
"30 Bali Ln, Singapore 189866","Indonesian restaurant","30 Bali Ln",,"50","2026","Singapore 189866",,,"false","false","true","false","1.3012255","warm","103.8584004","https://www.google.com/maps/place/KULON/data=!4m7!3m6!1s0x31da19b412e46883:0xa427c00a224fab63!8m2!3d1.3012255!4d103.8584004!16s%2Fg%2F11hs3v1bn1!19sChIJg2jkErQZ2jERY6tPIgrAJ6Q","true","KULON",,"Monday: Closed","Tuesday: 11:30 AM–9:30 PM","Wednesday: 11:30 AM–9:30 PM","Thursday: 11:30 AM–9:30 PM","Friday: 11:30 AM–9:30 PM","Saturday: 11:30 AM–9:30 PM","Sunday: 11:30 AM–9:30 PM","1","stale_site",,"+65 6929 4686","ChIJg2jkErQZ2jERY6tPIgrAJ6Q",,"4.7","1050","2026-08-17T12:49:41.940793+00:00","true",,"https://www.instagram.com/kulon.sg/","https://www.linkedin.com/company/kulon-pte-ltd",,,,"google_analytics",,"http://kulonsingapore.com/","own"
"54 Zion Rd, Singapore 247779","Indonesian restaurant","54 Zion Rd",,"40",,"Singapore 247779",,,"false","false","false","false","1.2929351","cold","103.831227","https://www.google.com/maps/place/IndoChili/data=!4m7!3m6!1s0x31da19836ef50bb9:0x8e73d74c5232aa12!8m2!3d1.2929351!4d103.831227!16s%2Fg%2F11rvw520n!19sChIJuQv1boMZ2jEREqoyUkzXc44",,"IndoChili",,"Monday: 11:30 AM–3 PM5–9:30 PM","Tuesday: 11:30 AM–3 PM5–9:30 PM","Wednesday: 11:30 AM–3 PM5–9:30 PM","Thursday: 11:30 AM–3 PM5–9:30 PM","Friday: 11:30 AM–9:30 PM","Saturday: 11:30 AM–3 PM5–9:30 PM","Sunday: 11:30 AM–3 PM5–9:30 PM","0",,,"+65 8922 8185","ChIJuQv1boMZ2jEREqoyUkzXc44",,"4.7","2743","2026-08-17T12:49:44.637706+00:00","false",,,,,,,,,"http://www.indochili.com/","own"
"Altez / Icon Village Extension, 16 Enggor St, #01-10, Singapore 079717","Indonesian restaurant","#01-10","wix","100","2024","Singapore 079717","hello@bara-food.com","mailto_link","true","true","false","false","1.2744873","hot","103.8443179","https://www.google.com/maps/place/Bara+Food+Tanjong+Pagar/data=!4m7!3m6!1s0x31da1970b386aa81:0x3fe1694d371af197!8m2!3d1.2744873!4d103.8443179!16s%2Fg%2F11frj609q2!19sChIJgaqGs3AZ2jERl_EaN01p4T8","true","Bara Food Tanjong Pagar",,"Monday: 8 AM–8 PM","Tuesday: 8 AM–8 PM","Wednesday: 8 AM–8 PM","Thursday: 8 AM–8 PM","Friday: 8 AM–8 PM","Saturday: 11 AM–8 PM","Sunday: 11 AM–8 PM","1","no_marketing",,"+65 8182 6876","ChIJgaqGs3AZ2jERl_EaN01p4T8",,"4.6","550","2026-08-17T12:49:50.152023+00:00","true","https://www.facebook.com/barafoodsg","https://www.instagram.com/barafoodsg",,,,,,,"https://www.bara-food.com/","own"
"290 Orchard Rd, #B1 - 44 Paragon, Singapore 238859","Indonesian restaurant","#B1 - 44 Paragon","wordpress","100","2016","Singapore 238859","enquiry@tambuahmas.com.sg","mailto_link","true","true","true","false","1.3036434","hot","103.8349946","https://www.google.com/maps/place/Tambuah+Mas+Indonesian+Restaurant+Paragon+Orchard+%7C+Michelin+Guide/data=!4m7!3m6!1s0x31da1992320efb97:0x4f68b1b22f90990f!8m2!3d1.3036434!4d103.8349946!16s%2Fg%2F1tj86z1_!19sChIJl_sOMpIZ2jERD5mQL7KxaE8","true","Tambuah Mas Indonesian Restaurant Paragon Orchard | Michelin Guide",,"Monday: 11 AM–10 PM","Tuesday: 11 AM–10 PM","Wednesday: 11 AM–10 PM","Thursday: 11 AM–10 PM","Friday: 11 AM–10 PM","Saturday: 11 AM–10 PM","Sunday: 11 AM–10 PM","1","stale_site",,"+65 8826 2181","ChIJl_sOMpIZ2jERD5mQL7KxaE8",,"4.1","1102","2026-08-17T12:49:57.742512+00:00","true",,,,,,,"google_analytics",,"http://www.tambuahmas.com.sg/","own"
"Telok Ayer St, #88 - 90, Singapore 048470","Indonesian restaurant","#88 - 90","webflow","50","2025","Singapore 048470",,,"false","true","true","false","1.2826195","cold","103.8486534","https://www.google.com/maps/place/Pagi+Sore+Indonesian+Restaurant+%28Family+Business+in+Singapore+since+1989%29/data=!4m7!3m6!1s0x31da190c45674969:0x32ead82129cb068b!8m2!3d1.2826195!4d103.8486534!16s%2Fg%2F1v_n913p!19sChIJaUlnRQwZ2jERiwbLKSHY6jI","true","Pagi Sore Indonesian Restaurant (Family Business in Singapore since 1989)",,"Monday: 11:30 AM–2 PM","Tuesday: 11:30 AM–2 PM5:30–8 PM","Wednesday: 11:30 AM–2 PM5:30–8 PM","Thursday: 11:30 AM–2 PM5:30–8 PM","Friday: 11:30 AM–2 PM5:30–8 PM","Saturday: 11:30 AM–2 PM5:30–8 PM","Sunday: 11:30 AM–2 PM5:30–8 PM","0",,,"+65 6225 6002","ChIJaUlnRQwZ2jERiwbLKSHY6jI",,"4.1","608","2026-08-17T12:50:06.646366+00:00","true","https://web.facebook.com/pagisore/?_rdc=1&_rdr","http://www.instagram.com/pagisoresg",,,,,"google_analytics",,"https://www.pagi-sore.com/","own"
"14 Scotts Rd, #05-22/23 Far East Plaza, Singapore 228213","Indonesian restaurant","#05-22/23 Far East Plaza","wix","50","2020","Singapore 228213",,,"true","true","false","false","1.3075867","warm","103.8335336","https://www.google.com/maps/place/Pondok+Jawa+Timur/data=!4m7!3m6!1s0x31da19b0d446610d:0x3ad23ff6ed7de527!8m2!3d1.3075867!4d103.8335336!16s%2Fg%2F11b6_nqh4h!19sChIJDWFG1LAZ2jERJ-V97fY_0jo","true","Pondok Jawa Timur",,"Monday: 11 AM–8 PM","Tuesday: 11 AM–8 PM","Wednesday: 11 AM–8 PM","Thursday: 11 AM–8 PM","Friday: 11 AM–9 PM","Saturday: 11 AM–9 PM","Sunday: 10 AM–8 PM","2","stale_site","no_marketing","+65 6884 5853","ChIJDWFG1LAZ2jERJ-V97fY_0jo",,"4.4","777","2026-08-17T12:50:21.762043+00:00","true",,,,,,,,,"http://www.pondokjawa.com/","own"
"Lucky Plaza, 304 Orchard Rd, #01-42 Orchard, Singapore 238863","Indonesian restaurant","#01-42 Orchard","wordpress","50",,"Singapore 238863",,,"true","true","false","false","1.3045755","warm","103.8340344","https://www.google.com/maps/place/Bebek+Goreng+Pak+Ndut+@Lucky+Plaza/data=!4m7!3m6!1s0x31da199270bd8a55:0x3ce988ae33fdb9ab!8m2!3d1.3045755!4d103.8340344!16s%2Fg%2F11g7zgnwrj!19sChIJVYq9cJIZ2jERq7n9M66I6Tw","true","Bebek Goreng Pak Ndut @Lucky Plaza",,"Monday: 11 AM–9:30 PM","Tuesday: 11 AM–9:30 PM","Wednesday: 11 AM–9:30 PM","Thursday: 11 AM–9:30 PM","Friday: 11 AM–9:30 PM","Saturday: 11 AM–9:30 PM","Sunday: 11 AM–9:30 PM","1","no_marketing",,"+65 6734 4787","ChIJVYq9cJIZ2jERq7n9M66I6Tw",,"4.6","2588","2026-08-17T12:50:23.357359+00:00","true","https://www.facebook.com/bebekgorengpakndutSG/","https://www.instagram.com/bebekgorengpakndut_sg/",,"https://www.tiktok.com/@bebekgorengpakndut_sg",,,,,"http://www.bebekgorengpakndut.com.sg/","own"
"18 & 18A Kandahar Street, Singapore 198884","Indonesian restaurant","18 & 18A Kandahar Street","wordpress","100",,"Singapore 198884","enquiry@minang.sg","mailto_link","false","true","true","false","1.3022991","warm","103.8595966","https://www.google.com/maps/place/Rumah+Makan+Minang+-+Kandahar+Street/data=!4m7!3m6!1s0x31da19b126f40b5d:0xf5b1f9ae92a2f622!8m2!3d1.3022991!4d103.8595966!16s%2Fg%2F1tj30ms4!19sChIJXQv0JrEZ2jERIvaikq75sfU","true","Rumah Makan Minang - Kandahar Street",,,,,,,,,"0",,,"+65 6977 7064","ChIJXQv0JrEZ2jERIvaikq75sfU",,"4.3","1529","2026-08-17T12:50:25.244112+00:00","true","https://www.facebook.com/minang.sg/","https://www.instagram.com/minang.sg/?hl=en",,"https://www.tiktok.com/@rumah.makan.minang",,,"google_analytics","meta_pixel","https://www.minang.sg/","own"
"50 Tras St, Singapore 078989","Indonesian restaurant","50 Tras St",,"40",,"Singapore 078989",,,"false","false","false","false","1.2781374","cold","103.844249","https://www.google.com/maps/place/Cumi+Bali/data=!4m7!3m6!1s0x31da196d447f0e0f:0xa1bfeb8cfb7ee197!8m2!3d1.2781374!4d103.844249!16s%2Fg%2F1vs1pcp6!19sChIJDw5_RG0Z2jERl-F--4zrv6E",,"Cumi Bali",,"Monday: 11:30 AM–2:30 PM6–9:30 PM","Tuesday: 11:30 AM–2:30 PM6–9:30 PM","Wednesday: 11:30 AM–2:30 PM6–9:30 PM","Thursday: 11:30 AM–2:30 PM6–9:30 PM","Friday: 11:30 AM–2:30 PM6–9:30 PM","Saturday: 11:30 AM–2:30 PM6–9:30 PM","Sunday: 11:30 AM–2:30 PM6–9:30 PM","0",,,"+65 6220 6619","ChIJDw5_RG0Z2jERl-F--4zrv6E",,"4.1","724","2026-08-17T12:50:28.292586+00:00","false",,,,,,,,,"http://www.cumibali.com/","own"
"405 Havelock Rd, Level 3 Furama Riverfront, Singapore 169633","Indonesian restaurant","Level 3 Furama Riverfront",,"40",,"Singapore 169633",,,"false","false","false","false","1.2875615","cold","103.8359488","https://www.google.com/maps/place/Kintamani+Restaurant/data=!4m7!3m6!1s0x31da1977b165dfcd:0x536bab441be18fb7!8m2!3d1.2875615!4d103.8359488!16s%2Fg%2F1tf7k223!19sChIJzd9lsXcZ2jERt4_hG0Sra1M",,"Kintamani Restaurant",,,,,,,,,"0",,,"+65 6739 6463","ChIJzd9lsXcZ2jERt4_hG0Sra1M",,"4","1141","2026-08-17T12:50:36.508007+00:00","false",,,,,,,,,"http://www.furama.com/riverfront/Dining/Kintamani-Indonesian-Restaurant","own"
"44 Kandahar St, Singapore 198897","Indonesian restaurant","44 Kandahar St",,"50",,"Singapore 198897",,,"false","false","false","false","1.3018761","warm","103.8599942","https://www.google.com/maps/place/Bumbu+Restaurant/data=!4m7!3m6!1s0x31da19b122a36dfd:0xe888a54734731ea7!8m2!3d1.3018761!4d103.8599942!16s%2Fg%2F1tf7v78b!19sChIJ_W2jIrEZ2jERpx5zNEeliOg","true","Bumbu Restaurant",,"Monday: Closed","Tuesday: 11 AM–3 PM6–10 PM","Wednesday: 11 AM–3 PM6–10 PM","Thursday: 11 AM–3 PM6–10 PM","Friday: 11 AM–3 PM6–10 PM","Saturday: 11 AM–3 PM6–10 PM","Sunday: 11 AM–3 PM6–10 PM","2","stale_site","no_marketing","+65 6392 8628","ChIJ_W2jIrEZ2jERpx5zNEeliOg",,"4.4","606","2026-08-17T12:50:45.037511+00:00","true",,,,,,,,,"http://bumbu.com.sg/","own"
"601 MacPherson Rd, #01-61 Grantral Mall Tai Seng, Singapore 368242","Vegetarian restaurant","#01-61 Grantral Mall Tai Seng",,"25",,"Singapore 368242",,,"false","true","false","false","1.3338869","warm","103.8881309","https://www.google.com/maps/place/WARUNG+IJO+%7C+VEGETARIAN+%7C+VEGAN+%7C+INDONESIAN+CUISINES+%7C+NO+ALCOHOL+%7C+NO+ONION+GARLIC/data=!4m7!3m6!1s0x31da1949d857c60d:0x52f4188e45fd31c!8m2!3d1.3338869!4d103.8881309!16s%2Fg%2F11h4qmbw93!19sChIJDcZX2EkZ2jERHNNf5IhBLwU",,"WARUNG IJO | VEGETARIAN | VEGAN | INDONESIAN CUISINES | NO ALCOHOL | NO ONION GARLIC",,"Monday: 11 AM–3 PM4:30–9 PM","Tuesday: 11 AM–3 PM4:30–9 PM","Wednesday: 11 AM–3 PM4:30–9 PM","Thursday: 11 AM–3 PM4:30–9 PM","Friday: 11 AM–3 PM4:30–9 PM","Saturday: 11 AM–3:30 PM4:30–9 PM","Sunday: 11 AM–3:30 PM4:30–9 PM","1","needs_website",,"+65 8857 8600","ChIJDcZX2EkZ2jERHNNf5IhBLwU",,"4.6","858","2026-08-17T12:50:45.761503+00:00","false",,,,,,,,,"https://m.facebook.com/SGWarungIjo/","social"
"94 Lor 4 Toa Payoh, #01-22, Singapore 310094","Indonesian restaurant","#01-22","wix","50","2026","Singapore 310094",,,"false","true","false","false","1.3388227","warm","103.8496748","https://www.google.com/maps/place/THREE.+by+Garamika/data=!4m7!3m6!1s0x31da176a6ec198c3:0xe0cbad1787b9d7c4!8m2!3d1.3388227!4d103.8496748!16s%2Fg%2F11k581v0qb!19sChIJw5jBbmoX2jERxNe5hxety-A","true","THREE. by Garamika",,,,,,,,,"1","no_marketing",,"+65 8027 1333","ChIJw5jBbmoX2jERxNe5hxety-A",,"4.6","658","2026-08-17T12:51:11.149354+00:00","true","https://www.facebook.com/p/THREE-by-Garamika-100094721258961/","https://www.instagram.com/threebygaramika/",,"https://www.tiktok.com/@threebygaramika",,,,,"http://www.threebygaramika.com/","own"
"14 Scotts Rd, #01-23 Far East Plaza, Singapore 228213","Restaurant","#01-23 Far East Plaza","wordpress","50",,"Singapore 228213",,,"false","true","true","false","1.3073044","cold","103.8333325","https://www.google.com/maps/place/Indo+Rasa+Singapore/data=!4m7!3m6!1s0x31da19a9093e5909:0x9cb1c2afe10eeec4!8m2!3d1.3073044!4d103.8333325!16s%2Fg%2F11sss93fls!19sChIJCVk-CakZ2jERxO4O4a_CsZw","true","Indo Rasa Singapore",,"Monday: 10 AM–9 PM","Tuesday: 10 AM–9 PM","Wednesday: 10 AM–9 PM","Thursday: 10 AM–9 PM","Friday: 10 AM–9 PM","Saturday: 10 AM–9 PM","Sunday: 10 AM–9 PM","0",,,"+65 9720 2721","ChIJCVk-CakZ2jERxO4O4a_CsZw",,"4.5","437","2026-08-17T12:51:11.836388+00:00","true",,,,,,,"google_analytics",,"https://social.quandoo.com/en/groups/indo-rasa-singapore","own"
