Kode_SKU,Nama_Varian_Produk,Kategori,Ukuran_Kemasan,HPP_Produk_Beli_Rp,Biaya_Kemasan_Pouch_Rp,Biaya_Stiker_Depan_Rp,Biaya_Stiker_Belakang_Rp,Total_HPP_Modal_Rp,Harga_Solo_Rp,Profit_Solo_Rp,Margin_Solo_Persen,Harga_Luar_Kota_Rp,Profit_Luar_Kota_Rp,Margin_Luar_Kota_Persen,Harga_Grosir_Rp,Profit_Grosir_Rp,Margin_Grosir_Persen,Harga_Marketplace_Promo_Rp
JBA-100-TRIAL,Trial Pack Grade A 100g,Grade A Crispy,100g,13.900,0,0,0,13.900,18.900,5.000,"26,5%",20.500,6.600,"32,2%",15.000,1.100,"7,3%",24.900
JBA-150,Grade A Pouch 150g,Grade A Crispy,150g,19.450,0,0,0,19.450,25.000,5.550,"22,2%",26.500,7.050,"26,6%",21.000,1.550,"7,4%",34.900
JBA-1K,Grade A Bal PE 1 Kg,Grade A Crispy,1000g,112.200,0,0,0,112.200,125.000,12.800,"10,2%",135.500,23.300,"17,2%",116.000,3.800,"3,3%",149.000
JBA-200,Grade A Pouch 200g,Grade A Crispy,200g,25.100,0,0,0,25.100,31.000,5.900,"19,0%",31.500,6.400,"20,3%",26.000,900,"3,5%",42.000
JBA-250,[HERO SKU] Grade A Pouch 250g,Grade A Crispy,250g,30.950,0,0,0,30.950,35.000,4.050,"11,6%",37.500,6.550,"17,5%",32.500,1.550,"4,8%",49.900
JBA-COMBO150-250,[PAKET COMBO RUMAHAN] Bawang Grade A Paket 150g + 250g,Grade A Crispy,150g,50.400,0,0,0,50.400,59.000,8.600,"14,6%",64.000,13.600,"21,2%",53.500,3.100,"5,8%",82.900
JBA-HORECA-2KG,[SUPLAI RESTORAN & KULINER] Bawang Grade A 2 kg Bal PE,Grade A Crispy,2000g,217.200,0,0,0,217.200,250.000,32.800,"13,1%",271.000,53.800,"19,9%",232.000,14.800,"6,4%",289.000
JBA-PAKET2X250,[PAKET HEMAT BUNDLING] Bawang Grade A 250g isi 2 Pouch,Grade A Crispy,250g,61.900,0,0,0,61.900,70.000,8.100,"11,6%",75.000,13.100,"17,5%",65.000,3.100,"4,8%",98.900
JBA-PAKETGROSIR1KG,[PAKET SUPER GROSIR] Bawang Grade A 1 kg (2x 500g),Grade A Crispy,1000g,117.400,0,0,0,117.400,130.000,12.600,"9,7%",141.000,23.600,"16,7%",122.000,4.600,"3,8%",168.000
JBM-100-TRIAL,Trial Pack Murni 100g,Grade S Murni,100g,15.400,0,0,0,15.400,21.600,6.200,"28,7%",23.500,8.100,"34,5%",18.000,2.600,"14,4%",29.900
JBM-150,Murni Pouch 150g,Grade S Murni,150g,21.700,0,0,0,21.700,26.000,4.300,"16,5%",26.500,4.800,"18,1%",25.000,3.300,"13,2%",42.900
JBM-1K,Murni Bal PE 1 Kg,Grade S Murni,1000g,127.200,0,0,0,127.200,152.000,24.800,"16,3%",165.500,38.300,"23,1%",135.000,7.800,"5,8%",179.000
JBM-200,Murni Pouch 200g,Grade S Murni,200g,28.200,0,0,0,28.200,34.500,6.300,"18,3%",37.500,9.300,"24,8%",32.000,3.800,"11,9%",52.900
JBM-250,[HERO SKU] Murni Pouch 250g,Grade S Murni,250g,34.700,0,0,0,34.700,40.000,5.300,"13,2%",43.500,8.800,"20,2%",39.500,4.800,"12,2%",64.900
JBM-COMBO150-250,[PAKET COMBO RUMAHAN] Bawang Murni Paket 150g + 250g,Grade S Murni,150g,56.400,0,0,0,56.400,64.500,8.100,"12,6%",70.000,13.600,"19,4%",64.500,8.100,"12,6%",105.000
JBM-HORECA-2KG,[SUPLAI RESTORAN & KULINER] Bawang Murni 2 kg Bal PE,Grade S Murni,2000g,247.200,0,0,0,247.200,304.000,56.800,"18,7%",331.000,83.800,"25,3%",270.000,22.800,"8,4%",349.000
JBM-PAKET2X250,[PAKET HEMAT BUNDLING] Bawang Murni 250g isi 2 Pouch,Grade S Murni,250g,69.400,0,0,0,69.400,80.000,10.600,"13,2%",87.000,17.600,"20,2%",79.000,9.600,"12,2%",129.000
JBM-PAKETGROSIR1KG,[PAKET SUPER GROSIR] Bawang Murni 1 kg (2x 500g),Grade S Murni,1000g,132.400,0,0,0,132.400,148.000,15.600,"10,5%",161.000,28.600,"17,8%",148.000,15.600,"10,5%",215.000
