Kode_SKU,Nama_Varian_Produk,Kategori,Ukuran_Gram,HPP_Bawang_Modal_Rp,Biaya_Pouch_Rp,Biaya_Stiker_Rp,Total_HPP_Modal_Rp,SkenarioA_HPP_Plus_20Pct_Rp,SkenarioA_Harga_Pusat_Rp,SkenarioA_Margin_Pct,SkenarioB_Margin20Pct_Target_Rp,SkenarioB_Harga_Pusat_Rp,SkenarioB_Margin_Pct
JBM-100-TRIAL,Trial Pack Murni 100g,Grade S Murni,100g,12.000,245,2.689,14.934,17.921,18.000,17.03%,18.668,19.000,21.40%
JBM-150,Murni Pouch 150g,Grade S Murni,150g,18.000,334,3.055,21.389,25.667,26.000,17.73%,26.736,27.000,20.78%
JBM-200,Murni Pouch 200g,Grade S Murni,200g,24.000,356,3.500,27.856,33.427,33.500,16.85%,34.820,35.000,20.41%
JBM-250,[HERO SKU] Murni Pouch 250g,Grade S Murni,250g,30.000,356,4.277,34.633,41.560,42.000,17.54%,43.291,43.500,20.38%
JBM-1K,Murni Bal PE 1 Kg,Grade S Murni,1000g,120.000,2.200,5.000,127.200,152.640,153.000,16.86%,159.000,159.000,20.00%
JBA-100-TRIAL,Trial Pack Grade A 100g,Grade A Crispy,100g,10.560,245,2.689,13.494,16.193,16.500,18.22%,16.868,17.000,20.62%
JBA-150,Grade A Pouch 150g,Grade A Crispy,150g,15.840,334,3.055,19.229,23.075,23.500,18.17%,24.036,24.500,21.51%
JBA-200,Grade A Pouch 200g,Grade A Crispy,200g,21.120,356,3.500,24.976,29.971,30.000,16.75%,31.220,31.500,20.71%
JBA-250,[HERO SKU] Grade A Pouch 250g,Grade A Crispy,250g,26.400,356,4.277,31.033,37.240,37.500,17.25%,38.791,39.000,20.43%
JBA-1K,Grade A Bal PE 1 Kg,Grade A Crispy,1000g,105.600,2.200,5.000,112.800,135.360,135.500,16.75%,141.000,141.000,20.00%
JBM-PAKET2X250,[PAKET BUNDLING] Bawang Murni 250g isi 2 Pouch,Bundling Murni,500g,60.000,712,8.554,69.266,83.119,83.500,17.05%,86.582,87.000,20.38%
JBM-COMBO150-250,[PAKET COMBO] Bawang Murni 150g + 250g,Bundling Murni,400g,48.000,690,7.332,56.022,67.226,67.500,17.00%,70.028,70.500,20.54%
JBM-PAKETGROSIR1KG,[PAKET GROSIR] Bawang Murni 1 kg (2x 500g),Bundling Murni,1000g,120.000,824,11.000,131.824,158.189,158.500,16.83%,164.780,165.000,20.11%
JBM-HORECA-2KG,[SUPLAI RESTORAN] Bawang Murni 2 kg Bal PE,Bundling Murni,2000g,240.000,2.200,5.000,247.200,296.640,297.000,16.77%,309.000,309.000,20.00%
JBA-PAKET2X250,[PAKET BUNDLING] Bawang Grade A 250g isi 2 Pouch,Bundling Grade A,500g,52.800,712,8.554,62.066,74.479,74.500,16.69%,77.582,78.000,20.43%
JBA-COMBO150-250,[PAKET COMBO] Bawang Grade A 150g + 250g,Bundling Grade A,400g,42.240,690,7.332,50.262,60.314,60.500,16.92%,62.828,63.000,20.22%
JBA-PAKETGROSIR1KG,[PAKET GROSIR] Bawang Grade A 1 kg (2x 500g),Bundling Grade A,1000g,105.600,824,11.000,117.424,140.909,141.000,16.72%,146.780,147.000,20.12%
JBA-HORECA-2KG,[SUPLAI RESTORAN] Bawang Grade A 2 kg Bal PE,Bundling Grade A,2000g,211.200,2.200,5.000,218.400,262.080,262.500,16.80%,273.000,273.000,20.00%
